Id,SalePrice
1461,126070.57767872544
1462,149055.04146188215
1463,169283.09435023263
1464,208701.5838008182
1465,177738.63145583312
1466,181264.412266191
1467,171487.49927353187
1468,177747.51169638013
1469,196440.49061018968
1470,122263.96918038679
1471,199866.32523456946
1472,99350.02144293292
1473,105539.72351694522
1474,194094.31646643666
1475,169361.2209932783
1476,384507.7829440773
1477,279911.81999301305
1478,289406.08542571904
1479,247491.2888830724
1480,465000.88207218004
1481,315438.0803898435
1482,205838.21698230543
1483,151075.36091542116
1484,194286.8450544695
1485,176774.4377429953
1486,194459.51943990064
1487,349641.6779115223
1488,215501.92831423008
1489,222974.41852968826
1490,206282.51700487174
1491,194459.51943990064
1492,78820.74016470101
1493,193828.08238835903
1494,261805.12363252512
1495,273913.1082198857
1496,214496.48112484737
1497,173955.0338553344
1498,155543.8652718823
1499,151634.72229191582
1500,123545.84215433849
1501,186026.18445780635
1502,155543.8652718823
1503,423596.85721185204
1504,233615.74799312765
1505,205020.1426737346
1506,190577.41589662578
1507,208446.09303861822
1508,190342.53942336718
1509,171527.25127158134
1510,133492.56074568603
1511,129583.41776571955
1512,155302.94589926532
1513,156691.65669522432
1514,194314.08217935308
1515,185294.08406752956
1516,148431.57783636198
1517,154074.1558230086
1518,127865.77436463824
1519,241609.30227070642
1520,129583.41776571955
1521,133492.56074568603
1522,182190.40898704308
1523,114442.39612064161
1524,122829.40303022432
1525,133433.02181012832
1526,124359.75436009216
1527,118015.05705617895
1528,138275.9149328359
1529,151482.50802218003
1530,187804.13396589854
1531,116121.22549767427
1532,85072.41141252549
1533,138687.40810694353
1534,119240.52632957212
1535,148095.55139529915
1536,107671.37425724202
1537,54729.30702270838
1538,201507.14296153962
1539,237947.08301384462
1540,66898.27740737502
1541,149001.79311628273
1542,152298.4834181682
1543,214800.414431841
1544,87207.74707428372
1545,118538.73841779584
1546,125823.62535308454
1547,112918.36538212564
1548,150577.2895365894
1549,123069.80765312629
1550,129841.13344518887
1551,103812.12299883523
1552,151223.81994302475
1553,138754.45116943982
1554,110655.26217628892
1555,169327.33661903438
1556,125247.45131133364
1557,130101.93257719214
1558,84595.49218959859
1559,114671.43773477808
1560,121618.02172839122
1561,159094.82242452714
1562,117478.13278519404
1563,122263.96918038679
1564,127676.23653705393
1565,127473.53195448265
1566,232521.94185388743
1567,69667.43608069327
1568,196429.77009788228
1569,148499.79296805782
1570,119639.74829503789
1571,136252.78127422088
1572,150881.547135193
1573,261578.09872517633
1574,96469.60106310385
1575,215705.87636698087
1576,206899.15377950054
1577,218508.06955296698
1578,180488.3394447021
1579,133354.33594495736
1580,190942.61887008976
1581,139983.51294647265
1582,131043.2185001251
1583,340519.81967125984
1584,231551.72657039447
1585,142203.76436922728
1586,85834.60355313442
1587,105544.4662083063
1588,149173.49113245026
1589,100283.30719756408
1590,137386.01045574716
1591,91209.12733481031
1592,113028.82995218388
1593,134313.166744295
1594,125886.62612759147
1595,88910.79552312962
1596,223563.7148172937
